20                       |29655.365,5924.062,-14564|0.000,324.293,0.000      |Pos¹g Beliara            |MOBNAME_ADDON_IDOL       
7066                     |-9266.130,-114.988,-17456|0.000,180.000,0.000      |Stó³ runiczny            |MOBNAME_RUNEMAKER        
7068                     |-10327.513,186.657,-18967|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7070                     |-10600.484,187.894,-18956|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7072                     |-10663.386,191.956,-18474|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7074                     |-10335.351,191.190,-18484|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7076                     |-9706.358,190.340,-18990.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7078                     |-9650.195,184.808,-18514.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7080                     |-10478.746,723.109,-19432|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
7106                     |37217.355,2937.862,-24672|0.000,52.835,0.000       |Patelnia                 |MOBNAME_PAN              
7141                     |36771.461,3174.908,-26467|0.000,250.000,0.000      |Drzwi                    |MOBNAME_DOOR             
7147                     |36205.918,3333.723,-27186|0.000,125.001,0.000      |Do kolonii wiêziennej    |MOBNAME_PRISON           
7162                     |29298.703,5399.184,-35018|0.000,47.154,0.000       |Kufer                    |MOBNAME_CHEST            
7516                     |36504.191,4680.061,-38162|0.000,47.154,0.000       |Kufer                    |MOBNAME_CHEST            
7534                     |47350.504,4366.997,18261.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
7536                     |47904.629,4368.997,17284.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
7550                     |51327.770,4243.015,19805.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
7552                     |48007.699,4989.755,21736.|0.000,77.469,0.000       |Kufer Igaraza            |MOBNAME_IGARAZ           
7578                     |47481.582,4995.788,21581.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
7584                     |48161.168,4990.876,21824.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
7592                     |48152.473,4995.622,22353.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
7619                     |49510.551,4238.308,18429.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
7621                     |49616.316,4241.308,18210.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
7623                     |49838.602,4238.091,18897.|0.000,250.000,0.000      |Skarbiec                 |MOBNAME_SCHATZKAMMER     
7632                     |49408.688,4992.681,19568.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7630                     |49306.195,4992.681,19739.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7636                     |49059.625,4992.737,20123.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7634                     |48957.133,4992.737,20294.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7640                     |49591.613,4992.925,19679.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7638                     |49489.121,4992.925,19850.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7644                     |49797.582,4990.198,19800.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7642                     |49695.090,4990.198,19971.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7648                     |50006.508,4993.522,19924.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7646                     |49904.016,4993.522,20094.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7652                     |49252.645,4992.337,20240.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7650                     |49150.152,4992.337,20411.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7656                     |49457.266,4988.501,20365.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7654                     |49354.773,4988.501,20536.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7660                     |49670.648,4992.969,20490.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7658                     |49568.156,4992.969,20661.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7737                     |46604.676,4988.830,20189.|0.000,250.000,0.000      |Biblioteka               |MOBNAME_BIBLIOTHEK       
7743                     |50521.004,4242.791,18896.|0.000,131.006,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
7777                     |49948.164,4241.937,17583.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
7779                     |49751.031,4242.491,17892.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
7781                     |50749.637,4243.176,18274.|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7968                     |47616.477,3475.854,16584.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
8006                     |50172.973,4469.027,22008.|0.000,27.500,0.000       |Lampa                    |MOBNAME_LIBRARYLEVER     
8236                     |51890.273,4989.464,18828.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8238                     |51276.324,4990.464,19865.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8240                     |49485.590,4996.365,22865.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8242                     |50114.637,4996.316,21833.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8246                     |47699.004,4991.257,21245.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8250                     |48147.781,4992.557,21516.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8248                     |47842.004,4991.972,22041.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8252                     |47392.000,4992.000,21755.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8254                     |46940.113,4992.211,20800.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8256                     |46497.703,4992.371,20527.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8258                     |46639.883,4992.601,21306.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8260                     |46197.531,4991.637,21032.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8262                     |48895.871,4991.238,17563.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8264                     |48442.605,4992.097,17297.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8266                     |48744.961,4991.963,16796.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8268                     |49208.914,4991.191,17050.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8270                     |49651.105,4992.204,18014.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8272                     |50096.277,4991.191,18290.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8274                     |49955.793,4991.547,17503.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8276                     |50402.914,4991.679,17774.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8278                     |45386.926,4991.657,20528.|0.000,156.899,0.000      |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSTAND        
8280                     |46099.430,4991.171,20717.|0.000,156.899,0.000      |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSTAND        
8282                     |46721.770,5125.023,19671.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8284                     |46271.555,4984.525,19627.|0.000,180.000,0.000      |Stó³ runiczny            |MOBNAME_RUNEMAKER        
8286                     |48032.645,4987.298,16765.|0.000,60.000,0.000       |                         |MOBNAME_WINEMAKER        
8288                     |47394.180,4992.006,17490.|0.000,60.000,0.000       |                         |MOBNAME_WINEMAKER        
8290                     |47741.867,4990.188,17076.|0.000,60.000,0.000       |                         |MOBNAME_WINEMAKER        
8307                     |45753.793,4242.453,19982.|0.000,312.555,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
8305                     |46963.543,4991.393,21617.|0.000,312.555,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
8309                     |50942.305,4991.607,18201.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8311                     |47988.000,4991.000,22128.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8315                     |47407.555,4241.257,17971.|0.000,131.006,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
8313                     |47688.141,4242.284,17493.|0.000,131.006,0.000      |                         |MOBNAME_LAB              
8317                     |47149.156,4882.624,18703.|0.000,250.000,0.000      |Drzwi                    |MOBNAME_Door             
8326                     |50728.152,5039.321,20863.|0.000,193.875,0.000      |                         |MOBNAME_THRONE           
8328                     |50794.164,5041.897,21151.|0.000,193.875,0.000      |                         |MOBNAME_THRONE           
8330                     |51007.977,5042.945,20793.|0.000,193.875,0.000      |                         |MOBNAME_THRONE           
8336                     |38683.734,3195.618,2291.1|0.000,312.555,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
8550                     |47889.152,3456.856,19338.|0.000,309.562,0.000      |Drzwi                    |MOBNAME_DOOR             
8554                     |49453.121,4374.749,22586.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8556                     |50071.273,4375.761,21578.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8558                     |49101.309,4375.673,20999.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8560                     |48482.078,4375.305,22020.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8564                     |48117.406,4241.178,21779.|0.000,131.006,0.000      |                         |MOBNAME_LAB              
8566                     |49546.465,4241.375,21304.|0.000,131.006,0.000      |                         |MOBNAME_LAB              
8570                     |51714.836,3613.743,18577.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8574                     |50166.453,3480.907,18951.|0.000,156.899,0.000      |Almanach                 |MOBNAME_ALMANACH         
8581                     |48112.801,3609.399,16965.|0.000,27.500,0.000       |                         |MOBNAME_LEVER            
8586                     |39458.102,4350.284,10827.|0.000,125.001,0.000      |Do gospody               |MOBNAME_MONASTERY2       
8587                     |39435.227,4350.702,10902.|0.000,125.001,0.000      |Do klasztoru             |MOBNAME_MONASTERY        
8871                     |38361.516,4361.226,9492.8|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
8873                     |50316.172,4235.498,19384.|0.000,250.000,0.000      |Spi¿arnia                |MOBNAME_VORRATSKAMMER    
8875                     |48573.172,4991.566,17041.|0.000,50.000,0.000       |Kufer                    |MOBNAME_CHEST            
8877                     |48923.742,4988.882,16759.|0.000,50.000,0.000       |Kufer                    |MOBNAME_CHEST            
8879                     |49063.902,4990.882,17317.|0.000,50.000,0.000       |Kufer                    |MOBNAME_CHEST            
8883                     |50785.781,4241.588,19111.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
8885                     |46216.488,4992.940,20518.|0.000,156.899,0.000      |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSTAND        
8887                     |45881.328,5124.940,20904.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8889                     |45748.348,5123.940,19690.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8891                     |46075.746,4992.940,19446.|0.000,156.899,0.000      |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSTAND        
8893                     |45475.055,5125.940,20188.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8895                     |45970.430,4992.940,20520.|0.000,156.899,0.000      |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSTAND        
8898                     |50380.184,4978.516,18681.|0.000,250.000,0.000      |                         |                         
8900                     |50790.227,4989.484,18508.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
8902                     |50767.594,4990.851,17976.|0.000,180.000,0.000      |Stó³ runiczny            |MOBNAME_RUNEMAKER        
8904                     |50400.652,4991.851,18117.|0.000,131.006,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
9007                     |49369.098,4998.205,21430.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
9009                     |49458.469,4992.686,23078.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
9011                     |50262.594,4992.913,21728.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
9013                     |49417.789,4991.992,21210.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
9017                     |49642.941,4992.390,22519.|0.000,56.609,0.000       |                         |MOBNAME_CHAIR            
9019                     |49493.148,4993.746,22384.|0.000,56.609,0.000       |                         |MOBNAME_CHAIR            
9021                     |49889.176,4994.568,22168.|0.000,56.609,0.000       |                         |MOBNAME_CHAIR            
9023                     |49694.914,4993.619,22039.|0.000,56.609,0.000       |                         |MOBNAME_CHAIR            
9041                     |49227.203,4993.121,22071.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
9043                     |49075.902,4992.847,22313.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
9119                     |51355.426,4990.678,19442.|0.000,56.609,0.000       |                         |MOBNAME_CHAIR            
9136                     |51557.996,4995.220,18572.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
9138                     |51148.633,4999.220,18596.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
9144                     |51537.246,5014.220,19111.|0.000,56.609,0.000       |                         |MOBNAME_CHAIR            
9152                     |51511.953,4990.391,19639.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
9154                     |51821.215,4990.391,19097.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
9156                     |50599.266,4992.391,19433.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
9202                     |57625.445,1913.875,-28367|0.000,62.000,0.000       |£ó¿ko                    |MOBNAME_BED              
9209                     |58719.449,1893.875,-29087|0.000,77.049,0.000       |Kufer                    |MOBNAME_CHEST            
9211                     |58960.914,1883.875,-29030|0.000,77.049,0.000       |Kufer                    |MOBNAME_CHEST            
9239                     |48794.145,1285.370,6554.0|0.000,76.895,0.000       |Kufer                    |MOBNAME_CHEST            
9241                     |48925.219,1300.370,6317.7|0.000,76.895,0.000       |Kufer                    |MOBNAME_CHEST            
9270                     |50926.684,3029.083,-15042|0.000,17.586,0.000       |                         |                         
9274                     |59557.184,1817.755,-26176|0.000,17.586,0.000       |                         |                         
9280                     |59634.188,2073.416,-6560.|0.000,135.000,0.000      |Przycisk                 |MOBNAME_ADDON_ORNAMENTSWI
9282                     |60433.676,2094.416,-7450.|0.000,135.000,0.000      |Przycisk                 |MOBNAME_ADDON_ORNAMENTSWI
9284                     |58979.883,2081.988,-7514.|0.000,135.000,0.000      |Przycisk                 |MOBNAME_ADDON_ORNAMENTSWI
9711                     |63070.578,4185.826,-27307|0.000,60.916,0.000       |                         |                         
9718                     |61573.105,4012.496,-32671|0.000,250.000,0.000      |Drzwi                    |MOBNAME_DOOR             
9722                     |59974.000,4146.328,-33015|0.000,250.000,0.000      |Drzwi                    |MOBNAME_DOOR             
10488                    |65290.039,3750.124,-23353|0.000,114.715,0.000      |Pi³a do drewna           |MOBNAME_SAW              
10548                    |70335.109,1675.708,-24400|0.000,76.895,0.000       |Kufer                    |MOBNAME_CHEST            
10550                    |70172.664,1682.492,-24365|0.000,76.895,0.000       |Kufer                    |MOBNAME_CHEST            
10553                    |70538.328,1675.293,-24319|0.000,62.000,0.000       |£ó¿ko                    |MOBNAME_BED              
10555                    |70342.359,1679.538,-24022|0.000,62.000,0.000       |£ó¿ko                    |MOBNAME_BED              
10634                    |69775.812,1692.240,-23807|0.000,114.715,0.000      |Pi³a do drewna           |MOBNAME_SAW              
10703                    |69561.875,1678.974,-24520|0.000,114.714,0.000      |Pi³a do drewna           |MOBNAME_SAW              
10734                    |53333.570,1669.498,1711.1|0.000,69.908,0.000       |                         |MOBNAME_GRAVETEAM_15     
10742                    |53925.098,1668.428,2384.4|0.000,66.130,0.000       |                         |MOBNAME_GRAVETEAM_16     
10743                    |52442.328,1643.757,2354.6|0.000,66.403,0.000       |Serano Ukara 234 - 298 'S|MOBNAME_GRAVE_13         
10744                    |52947.781,1601.136,2268.3|0.000,67.669,0.000       |Victimo Sorn 456 - 512 'T|MOBNAME_GRAVE_14         
10745                    |52657.133,1659.763,1388.8|0.000,66.781,0.000       |Veranim Sadea 390 - 'Król|MOBNAME_GRAVE_12         
10746                    |52581.426,1640.991,720.89|0.000,67.087,0.000       |Izolda 525 - 550         |MOBNAME_GRAVE_03         
10747                    |52723.992,1602.991,430.27|0.000,68.032,0.000       |Yasmin 510 - 546         |MOBNAME_GRAVE_07         
10748                    |52527.051,1620.992,-296.4|0.000,69.514,0.000       |Teodor 220 - 310 - 'Oby j|MOBNAME_GRAVE_11         
10818                    |81738.891,4150.927,-19413|0.000,76.895,0.000       |Kufer                    |MOBNAME_CHEST            
10820                    |82097.414,4148.368,-19505|0.000,83.565,0.000       |                         |                         
10842                    |82127.953,4191.998,-18388|0.000,50.020,0.000       |                         |MOBNAME_BENCH            
10844                    |81406.305,4200.362,-18648|0.000,50.020,0.000       |                         |MOBNAME_BENCH            
10988                    |44643.289,2935.514,2590.8|0.000,61.953,0.000       |                         |MOBNAME_BENCH            
10998                    |45308.328,3041.000,3676.8|0.000,76.895,0.000       |Kufer                    |MOBNAME_CHEST            
11001                    |45545.215,3039.665,3433.7|0.000,76.895,0.000       |Kufer                    |MOBNAME_CHEST            
11172                    |45038.066,2572.213,-15558|0.000,80.089,0.000       |Nieznany ¿o³nierz        |MOBNAME_GRAVE_09         
11227                    |74936.305,3309.044,-287.6|0.000,66.070,0.000       |NicoDE - 'Witaj, œwiecie!|MOBNAME_GRAVETEAM_10     
11289                    |74418.180,3352.524,-690.4|0.000,79.116,0.000       |Oelk - 'NIIIIIIIEEEEEEEEE|MOBNAME_GRAVETEAM_02     
11290                    |74621.141,3355.524,-986.1|0.000,77.765,0.000       |Snoelk - 'Patrzcie - prze|MOBNAME_GRAVETEAM_01     
11291                    |73657.516,3343.255,-1234.|0.000,65.488,0.000       |Chase - 'I co wy na to, z|MOBNAME_GRAVETEAM_05     
11292                    |73848.617,3347.255,-1515.|0.000,64.542,0.000       |Michael - 'Ja wcale nie œ|MOBNAME_GRAVETEAM_07     
11293                    |74100.641,3349.097,-1859.|0.000,79.572,0.000       |Hodges - 'Wszystko bêdzie|MOBNAME_GRAVETEAM_03     
11317                    |58804.195,1630.428,11224.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
11319                    |58644.449,1635.428,11132.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
11444                    |75175.906,2661.636,618.64|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
11533                    |57121.371,1899.660,-984.5|0.000,78.713,0.000       |Kufer                    |MOBNAME_CHEST            
11535                    |56622.633,1904.617,-2091.|0.000,77.819,0.000       |Kufer                    |MOBNAME_CHEST            
